date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:22	188972/188972	---M--	200	added ('OK')	image/jpeg	etag:%22302f4-584cf7561e580%22	https://preview.colorlib.com/theme/digilab/images/bg_3.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/bg_3.jpg	(from https://preview.colorlib.com/theme/digilab/)
15:45:22	92024/92024	---M--	200	added ('OK')	image/jpeg	etag:%221783e-584cf78a92140%22	https://preview.colorlib.com/theme/digilab/images/project-2.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/project-2.jpg	(from https://preview.colorlib.com/theme/digilab/)
15:45:22	82636/82636	---M--	200	added ('OK')	image/jpeg	etag:%2215422-584cf79327580%22	https://preview.colorlib.com/theme/digilab/images/project-3.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/project-3.jpg	(from https://preview.colorlib.com/theme/digilab/)
15:45:24	65132/65132	---M--	200	added ('OK')	image/jpeg	etag:%2210639-584cf7a175740%22	https://preview.colorlib.com/theme/digilab/images/project-5.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/project-5.jpg	(from https://preview.colorlib.com/theme/digilab/)
15:45:26	79867/79867	---M--	200	added ('OK')	image/jpeg	etag:%2214761-584cf79cb0c00%22	https://preview.colorlib.com/theme/digilab/images/project-4.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/project-4.jpg	(from https://preview.colorlib.com/theme/digilab/)
15:45:26	80929/80929	---M--	200	added ('OK')	image/jpeg	etag:%2213fe5-584cf7a35dbc0%22	https://preview.colorlib.com/theme/digilab/images/project-6.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/project-6.jpg	(from https://preview.colorlib.com/theme/digilab/)
15:45:28	81910/81910	---M--	200	added ('OK')	image/jpeg	etag:%2214df2-584cf7a916940%22	https://preview.colorlib.com/theme/digilab/images/staff-1.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/staff-1.jpg	(from https://preview.colorlib.com/theme/digilab/)
15:45:31	90179/90179	---M--	200	added ('OK')	image/jpeg	etag:%2217007-584cf7abf3000%22	https://preview.colorlib.com/theme/digilab/images/staff-2.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/staff-2.jpg	(from https://preview.colorlib.com/theme/digilab/)
15:45:32	260460/260460	---M--	200	added ('OK')	image/jpeg	etag:%2241857-584cf745e7f40%22	https://preview.colorlib.com/theme/digilab/images/about.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/about.jpg	(from https://preview.colorlib.com/theme/digilab/)
15:45:34	115415/115415	---M--	200	added ('OK')	image/jpeg	etag:%221da23-584cf7ace7240%22	https://preview.colorlib.com/theme/digilab/images/staff-3.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/staff-3.jpg	(from https://preview.colorlib.com/theme/digilab/)
15:45:35	77935/77935	---M--	200	added ('OK')	image/jpeg	etag:%2214240-584cf7b394200%22	https://preview.colorlib.com/theme/digilab/images/staff-4.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/staff-4.jpg	(from https://preview.colorlib.com/theme/digilab/)
15:45:35	35012/35012	---M--	200	added ('OK')	image/jpeg	etag:%228cfa-584cf774a2d80%22	https://preview.colorlib.com/theme/digilab/images/person_1.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/person_1.jpg	(from https://preview.colorlib.com/theme/digilab/)
